Interrupt Source (1),XC32 Vector Name,IRQ #,Vector #,Flag,Interrupt Enable,Priority Bit Location,Sub-priority Bit Location,Persistent Interrupt
PWM1,PWM1_VECTOR,186,OFF186<17:1>,IFS5<26>,IEC5<26>,IPC46<20:18>,IPC46<17:16>,No
PWM2,PWM2_VECTOR,187,OFF187<17:1>,IFS5<27>,IEC5<27>,IPC46<28:26>,IPC46<25:24>,No
PWM3,PWM3_VECTOR,188,OFF188<17:1>,IFS5<28>,IEC5<28>,IPC47<4:2>,IPC47<1:0>,No
PWM4,PWM4_VECTOR,189,OFF189<17:1>,IFS5<29>,IEC5<29>,IPC47<12:10>,IPC47<9:8>,No
PWM5,PWM5_VECTOR,190,OFF190<17:1>,IFS5<30>,IEC5<30>,IPC47<20:18>,IPC47<17:16>,No
PWM6,PWM6_VECTOR,191,OFF191<17:1>,IFS5<31>,IEC5<31>,IPC47<28:26>,IPC47<25:24>,No
PWM7,PWM7_VECTOR,192,OFF192<17:1>,IFS6<0>,IEC6<0>,IPC48<4:2>,IPC48<1:0>,No
PWM8,PWM8_VECTOR,193,OFF193<17:1>,IFS6<1>,IEC6<1>,IPC48<12:10>,IPC48<9:8>,No
PWM9,PWM9_VECTOR,194,OFF194<17:1>,IFS6<2>,IEC6<2>,IPC48<20:18>,IPC48<17:16>,No
PWM10,PWM10_VECTOR,195,OFF195<17:1>,IFS6<3>,IEC6<3>,IPC48<28:26>,IPC48<25:24>,No
PWM11,PWM11_VECTOR,196,OFF196<17:1>,IFS6<4>,IEC6<4>,IPC49<4:2>,IPC49<1:0>,No
PWM12,PWM12_VECTOR,197,OFF197<17:1>,IFS6<5>,IEC6<5>,IPC49<12:10>,IPC49<9:8>,No
CAN1 RX,CAN1_RX_VECTOR,198,OFF198<17:1>,IFS6<6>,IEC6<6>,IPC49<20:18>,IPC49<17:16>,Yes
CAN1 TX,CAN1_TX_VECTOR,199,OFF199<17:1>,IFS6<7>,IEC6<7>,IPC49<28:26>,IPC49<25:24>,Yes
CAN2 RX,CAN2_RX_VECTOR,200,OFF200<17:1>,IFS6<8>,IEC6<8>,IPC50<4:2>,IPC50<1:0>,Yes
CAN2 TX,CAN2_TX_VECTOR,201,OFF201<17:1>,IFS6<9>,IEC6<9>,IPC50<12:10>,IPC50<9:8>,Yes
CAN3 RX,CAN3_RX_VECTOR,202,OFF202<17:1>,IFS6<10>,IEC6<10>,IPC50<20:18>,IPC50<17:16>,Yes
CAN3 TX,CAN3_TX_VECTOR,203,OFF203<17:1>,IFS6<11>,IEC6<11>,IPC50<28:26>,IPC50<25:24>,Yes
CAN4 RX,CAN4_RX_VECTOR,204,OFF204<17:1>,IFS6<12>,IEC6<12>,IPC51<4:2>,IPC51<1:0>,Yes
CAN4 TX,CAN4_TX_VECTOR,205,OFF205<17:1>,IFS6<13>,IEC6<13>,IPC51<12:10>,IPC51<9:8>,Yes
Comparator 3,COMPARATOR_3_VECTOR,206,OFF206<17:1>,IFS6<14>,IEC6<14>,IPC51<20:18>,IPC51<17:16>,No
Comparator 4,COMPARATOR_4_VECTOR,207,OFF207<17:1>,IFS6<15>,IEC6<15>,IPC51<28:26>,IPC51<25:24>,No
Comparator 5,COMPARATOR_5_VECTOR,208,OFF208<17:1>,IFS6<16>,IEC6<16>,IPC52<4:2>,IPC52<1:0>,No
PWM Special Event,PWM_SPECIAL_EVENT_VECTOR,209,OFF209<17:1>,IFS6<17>,IEC6<17>,IPC52<12:10>,IPC52<9:8>,No
Parallel Master Port (2),PMP_VECTOR,210,OFF210<17:1>,IFS6<18>,IEC6<18>,IPC52<20:18>,IPC52<17:16>,Yes
PMP Error (2),PMP_ERROR_VECTOR,211,OFF211<17:1>,IFS6<19>,IEC6<19>,IPC52<28:26>,IPC52<25:24>,Yes
UART7 Fault,UART7_FAULT_VECTOR,212,OFF212<17:1>,IFS6<20>,IEC6<20>,IPC53<4:2>,IPC53<1:0>,Yes
UART7 Receive Done,UART7_RX_VECTOR,213,OFF213<17:1>,IFS6<21>,IEC6<21>,IPC53<12:10>,IPC53<9:8>,Yes
UART7 Transfer Done,UART7_TX_VECTOR,214,OFF214<17:1>,IFS6<22>,IEC6<22>,IPC53<20:18>,IPC53<17:16>,Yes
UART8 Fault,UART8_FAULT_VECTOR,215,OFF215<17:1>,IFS6<23>,IEC6<23>,IPC53<28:26>,IPC53<25:24>,Yes
UART8 Receive Done,UART8_RX_VECTOR,216,OFF216<17:1>,IFS6<24>,IEC6<24>,IPC54<4:2>,IPC54<1:0>,Yes
UART8 Transfer Done,UART8_TX_VECTOR,217,OFF217<17:1>,IFS6<25>,IEC6<25>,IPC54<12:10>,IPC54<9:8>,Yes
UART9 Fault,UART9_FAULT_VECTOR,218,OFF218<17:1>,IFS6<26>,IEC6<26>,IPC54<20:18>,IPC54<17:16>,Yes
UART9 Receive Done,UART9_RX_VECTOR,219,OFF219<17:1>,IFS6<27>,IEC6<27>,IPC54<28:26>,IPC54<25:24>,Yes
UART9 Transfer Done,UART9_TX_VECTOR,220,OFF220<17:1>,IFS6<28>,IEC6<28>,IPC55<4:2>,IPC55<1:0>,Yes
UART10 Fault,UART10_FAULT_VECTOR,221,OFF221<17:1>,IFS6<29>,IEC6<29>,IPC55<12:10>,IPC55<9:8>,Yes
UART10 Receive Done,UART10_RX_VECTOR,222,OFF222<17:1>,IFS6<30>,IEC6<30>,IPC55<20:18>,IPC55<17:16>,Yes
UART10 Transfer Done,UART10_TX_VECTOR,223,OFF223<17:1>,IFS6<31>,IEC6<31>,IPC55<28:26>,IPC55<25:24>,Yes
UART11 Fault,UART11_FAULT_VECTOR,224,OFF224<17:1>,IFS7<0>,IEC7<0>,IPC56<4:2>,IPC56<1:0>,Yes
UART11 Receive Done,UART11_RX_VECTOR,225,OFF225<17:1>,IFS7<1>,IEC7<1>,IPC56<12:10>,IPC56<9:8>,Yes
UART11 Transfer Done,UART11_TX_VECTOR,226,OFF226<17:1>,IFS7<2>,IEC7<2>,IPC56<20:18>,IPC56<17:16>,Yes
UART12 Fault,UART12_FAULT_VECTOR,227,OFF227<17:1>,IFS7<3>,IEC7<3>,IPC56<28:26>,IPC56<25:24>,Yes
UART12 Receive Done,UART12_RX_VECTOR,228,OFF228<17:1>,IFS7<4>,IEC7<4>,IPC57<4:2>,IPC57<1:0>,Yes
UART12 Transfer Done,UART12_TX_VECTOR,229,OFF229<17:1>,IFS7<5>,IEC7<5>,IPC57<12:10>,IPC57<9:8>,Yes
SPI1 Fault (2),SPI1_FAULT_VECTOR,230,OFF230<17:1>,IFS7<6>,IEC7<6>,IPC57<20:18>,IPC57<17:16>,Yes
SPI1 Receive Done (2),SPI1_RX_VECTOR,231,OFF231<17:1>,IFS7<7>,IEC7<7>,IPC57<28:26>,IPC57<25:24>,Yes
SPI1 Transfer Done (2),SPI1_TX_VECTOR,232,OFF232<17:1>,IFS7<8>,IEC7<8>,IPC58<4:2>,IPC58<1:0>,Yes
SPI2 Fault (2),SPI2_FAULT_VECTOR,233,OFF233<17:1>,IFS7<9>,IEC7<9>,IPC58<12:10>,IPC58<9:8>,Yes
SPI2 Receive Done (2),SPI2_RX_VECTOR,234,OFF234<17:1>,IFS7<10>,IEC7<10>,IPC58<20:18>,IPC58<17:16>,Yes
SPI2 Transfer Done (2),SPI2_TX_VECTOR,235,OFF235<17:1>,IFS7<11>,IEC7<11>,IPC58<28:26>,IPC58<25:24>,Yes
SPI3 Fault (2),SPI3_FAULT_VECTOR,236,OFF236<17:1>,IFS7<12>,IEC7<12>,IPC59<4:2>,IPC59<1:0>,Yes
SPI3 Receive Done (2),SPI3_RX_VECTOR,237,OFF237<17:1>,IFS7<13>,IEC7<13>,IPC59<12:10>,IPC59<9:8>,Yes
SPI3 Transfer Done (2),SPI3_TX_VECTOR,238,OFF238<17:1>,IFS7<14>,IEC7<14>,IPC59<20:18>,IPC59<17:16>,Yes
PWM7-12 Fault (2),PWM_FAULT_VECTOR,239-243,OFF239-243<17:1>,IFS7<15-19>,IEC7<15-19>,IPC59-60,IPC59-60,No
USB2 Combined,USB2_VECTOR,244,OFF244<17:1>,IFS7<20>,IEC7<20>,IPC61<4:2>,IPC61<1:0>,Yes
ADC Dig. Comp. 3,ADC_DC3_VECTOR,245,OFF245<17:1>,IFS7<21>,IEC7<21>,IPC61<12:10>,IPC61<9:8>,Yes
ADC Dig. Comp. 4,ADC_DC4_VECTOR,246,OFF246<17:1>,IFS7<22>,IEC7<22>,IPC61<20:18>,IPC61<17:16>,Yes
Prefetch Cache Event,PCACHE_VECTOR,247,OFF247<17:1>,IFS7<23>,IEC7<23>,IPC61<28:26>,IPC61<25:24>,No
